German,English,Bengali
mach,do,করতে
passiert,happened,ঘটেছে
dachte,thought,চিন্তা
besser,better,ভাল
musst,must,আবশ্যক
wieso,how come,কিভাবে আসা
sir,sir,স্যার
dieses,this,এই
selbst,himself,নিজেকে
gehört,heard,শুনেছি
möchte,want,চাই
ohne,without,ছাড়া
hör,listen,শুনুন
her,here,এখানে
sag,say,বল
meiner,mine,আমার
anderen,others,অন্যদের
helfen,help,সাহায্য
nacht,night,রাত
finden,find,খুঁজুন
diesen,this one,এই এক
gute,good,ভাল
wirst,will,হবে
lange,long,দীর্ঘ
natürlich,naturally,স্বাভাবিকভাবে
ach,Oh,ওহ
meinem,mine,আমার
gar,even,এমনকি
ins,into the,মধ্যে
sei,be,হতে
dort,there,সেখানে
weiter,further,আরও
geben,give,দিতে
seit,since,থেকে
gleich,even,এমনকি
sagt,says,বলেন
recht,right,অধিকার
ihren,your,আপনার
richtig,correct,সঠিক
ordnung,order,আদেশ
vom,from the,থেকে
hören,hear,শুনতে
sieht,sees,দেখে
davon,of that,যে
dafür,for that,যে জন্য
geh,go,যাও
diesem,this one,এই এক
wegen,because of,কারণ
hause,home,বাড়ি
sollten,should,উচিত
mädchen,girl,মেয়ে
hin,there,সেখানে
sollen,should,উচিত
abend,evening,সন্ধ্যা
haus,a house,একটি ঘর
denke,think,মনে
viele,many,অনেক
drei,three,তিন
deinen,yours,তোমার
freund,friend,বন্ধু
guten,good,ভাল
unser,our,আমাদের
warte,wait,অপেক্ষা করুন
machst,do,করতে
menschen,people,মানুষ
essen,eat,খাওয়া
angst,fear,ভয়
bleiben,remain,থাকা
zusammen,together,একসাথে
welt,world,বিশ্ব
unter,under,অধীন
habt,have,আছে
schnell,fast,দ্রুত
andere,other,অন্যান্য
tot,dead,মৃত
getan,did,করেছে
darf,may,হতে পারে
erst,first,প্রথম
rein,pure,বিশুদ্ধ
stimmt,true,সত্য
nehmen,take,নিতে
kinder,children,শিশু
eines,one,এক
glauben,believe,বিশ্বাস
bringen,bring,আনা
ganze,whole,সম্পূর্ণ
genug,enough,যথেষ্ট
scheiße,shit,বিষ্ঠা
brauchen,need,প্রয়োজন
gegen,against,বিরুদ্ধে
moment,moment,মুহূর্ত
junge,boy,ছেলে
steht,stands,দাঁড়ায়
sonst,otherwise,অন্যথায়
musik,music,সঙ্গীত
arbeit,work,কাজ
seid,are,হয়
ihrer,theirs,তাদের
fragen,questions,প্রশ্ন
herr,Mr,মি
dabei,included,অন্তর্ভুক্ত
heißt,is called,বলা হয়
familie,family,পরিবার
warten,wait,অপেক্ষা করুন
niemand,no one,কেউ না
sofort,immediately,অবিলম্বে
bevor,before,আগে
jahre,years,বছর
einmal,once,একবার
problem,problem,সমস্যা
sohn,son,পুত্র
wann,When,কখন
brauche,need,প্রয়োজন
fertig,complete,সম্পূর্ণ
halt,stop,থামা
allein,alone,একা
beim,at the,এ
sprechen,speak,কথা বলা
beide,both,উভয়
gefunden,found,পাওয়া গেছে
hatten,had,ছিল
sache,matter,ব্যাপার
hilfe,help,সাহায্য
verdammt,damned,অভিশপ্ত
ne,no,না
jeder,everyone,সবাই
warst,were,ছিল
gern,gladly,আনন্দের সাথে
konnte,could,পারে
darüber,about it,এটা সম্পর্কে
halten,hold,রাখা
siehst,see,দেখুন
verstehe,understand,বুঝতে
jahren,years,বছর
kam,came,এসেছে
kind,child,শিশু
wusste,knew,জানত
wahr,true,সত্য
seinen,his,তার
dazu,in addition,উপরন্তু
bruder,brother,ভাই
daran,to it,এটা
ihrem,theirs,তাদের
denken,think,মনে
könnten,could,পারে
dank,thanks to,ধন্যবাদ
würden,would,হবে
lieber,Dear,প্রিয়
fall,case,মামলা
deiner,yours,তোমার
sehe,see,দেখুন
egal,doesn't matter,কোন ব্যাপার না
kennen,know,জানি
deinem,yours,তোমার
vergessen,forget,ভুলে যাও
frage,ask,জিজ্ঞাসা
mache,make,করা
komme,come,আসা
sage,saw,দেখেছি
mag,likes,পছন্দ
sieh,see,দেখুন
echt,real,বাস্তব
gib,give,দিতে
eigentlich,actually,আসলে
jeden,every,প্রতিটি
dad,dad,বাবা
gab,gave,দিয়েছে
uhr,clock,ঘড়ি
stadt,city,শহর
männer,men,পুরুষদের
baby,baby,শিশু
fahren,drive,ড্রাইভ
namen,names,নাম
bekommen,receive,গ্রহণ
kopf,head,মাথা
hi,hi,হাই
gehe,go,যাও
kleine,small,ছোট
später,later,পরে
glück,happiness,সুখ
letzte,last,শেষ
freunde,friends,বন্ধুরা
n,n,n
all,all,সব
darauf,on it,এটার উপর
ende,end,শেষ
dr.,dr.,ড.
bald,soon,শীঘ্রই
töten,kill,হত্যা
dinge,things,জিনিস
meinst,mean,মানে
toll,great,মহান
eins,one,এক
minuten,minutes,মিনিট
vielen,many,অনেক
bereit,ready,প্রস্তুত
weit,far,দূরে
ahnung,idea,ধারণা
seiner,his,তার
bisschen,a little,একটু
tür,door,দরজা
auto,car,গাড়ী
jungs,guys,বলছি
eure,your,আপনার
augen,eyes,চোখ
polizei,police,পুলিশ
stehen,stand,দাঁড়ানো
sterben,die,মারা
hätten,would have,থাকবে
draußen,outside,বাইরে
kenne,know,জানি
fast,almost,প্রায়
runter,down,নিচে
vorbei,over,ওভার
treffen,meet,দেখা
gerne,gladly,আনন্দের সাথে
dran,your turn,আপনার পালা
wurden,became,পরিণত
arbeiten,work,কাজ
mom,mom,মা
verrückt,crazy,পাগল
neue,new,নতুন
ging,went,গিয়েছিলাম
hinter,behind,পিছনে
sorgen,care for,যত্ন
einzige,only,শুধুমাত্র
jemanden,someone,কেউ
darum,therefore,তাই
tochter,daughter,কন্যা
braucht,needs,প্রয়োজন
idee,idea,ধারণা
schwester,sister,বোন
drin,inside,ভিতরে
ruhig,quiet,শান্ত
sah,saw,দেখেছি
ganzen,entire,সম্পূর্ণ
spät,late,দেরী
ziemlich,quite,বেশ
solltest,should,উচিত
name,name,নাম
sogar,even,এমনকি
kurz,short,সংক্ষিপ্ত
kerl,guy,লোক
frauen,women,নারী
liegt,lies,মিথ্যা
suchen,seek,চাওয়া
finde,find,খুঁজুন
je,ever,কখনও
woher,from where,কোথা থেকে
lang,long,দীর্ঘ
job,job,চাকরি
keiner,none,কোনটি
seinem,his,তার
hört,hears,শোনে
verstehen,understand,বুঝতে
spielen,play,খেলা
s.,s.,s
überhaupt,at all,মোটেও
teufel,devil,শয়তান
verstanden,understood,বোঝা যায়
verloren,lost,হারিয়ে গেছে
große,size,আকার
hand,hand,হাত
grund,reason,কারণ
jahr,year,বছর
kommst,come,আসা
mama,mama,মা
ruhe,quiet,শান্ত
gewesen,been,হয়েছে
tod,death,মৃত্যু
stunden,hours,ঘন্টা
hoffe,hope,আশা
denkst,think,মনে
oben,above,উপরে
gestern,yesterday,গতকাল
versuchen,attempt,প্রচেষ্টা
art,Art,শিল্প
letzten,last,শেষ
schatz,treasure,ধন
endlich,finally,অবশেষে
he,hey,হে
nimm,take,নিতে
etwa,approximately,প্রায়
erzählt,told,বলা
läuft,running,চলমান
schwer,difficult,কঠিন
anders,different,ভিন্ন
miss,miss,মিস
musste,had to,ছিল
fünf,five,পাঁচ
wasser,water,জল
lässt,lets,দেয়
erste,first,প্রথম
versucht,tried,চেষ্টা
gekommen,came,এসেছে
geschichte,story,গল্প
wenig,few,কিছু
holen,fetch,আনা
bedeutet,means,মানে
nett,nice,চমৎকার
wahrheit,truth,সত্য
woche,week,সপ্তাহ
bringt,brings,নিয়ে আসে
deshalb,for this reason,এই কারণে
welche,which,যা
bestimmt,certainly,অবশ্যই
hoch,high,উচ্চ
alter,age,বয়স
sagst,say,বল
schau,look,তাকান
ah,uh,উহ
land,country,দেশ
zimmer,room,রুম
wagen,dare,সাহস
vier,four,চার
gefallen,fallen,পতিত
spaß,fun,মজা
niemals,never,কখনই
schuld,fault,দোষ
getötet,killed,নিহত
wollten,wanted,চেয়েছিলেন
verlassen,leave,ছেড়ে
zeigen,show,দেখান
beste,best,সেরা
ernst,serious,গুরুতর
unserer,ours,আমাদের
denen,those,যারা
ort,location,অবস্থান
bleibt,remains,অবশেষ
würdest,would,হবে
manchmal,sometimes,কখনও কখনও
glaubst,believe,বিশ্বাস
seite,page,পৃষ্ঠা
lasst,let,যাক
zwischen,between,মধ্যে
eben,even,এমনকি
während,while,যখন
spiel,game,খেলা
nehme,take,নিতে
ersten,first,প্রথম
guter,goods,পণ্য
chance,chance,সুযোগ
freundin,girlfriend,বান্ধবী
krieg,war,যুদ্ধ
gefällt,pleases,খুশি
kleinen,small,ছোট
erzählen,tell,বল
anderes,other,অন্যান্য
tage,days,দিন
entschuldigen,excuse,অজুহাত
wichtig,important,গুরুত্বপূর্ণ
gehst,go,যাও
allen,everyone,সবাই
bett,bed,বিছানা
mrs.,mrs.,মিসেস
sachen,things,জিনিস
the,the,দ
schlecht,bad,খারাপ
schule,school,স্কুল
entschuldigung,excuse,অজুহাত
wort,word,শব্দ
john,John,জন
hättest,would have,থাকবে
wären,would be,হবে
typ,type,টাইপ
schlafen,sleep,ঘুম
äh,uh,উহ
tu,do,করতে
euer,your,আপনার
captain,captain,অধিনায়ক
gesicht,face,মুখ
falls,if,যদি
neuen,new,নতুন
bloß,just,শুধু
unten,below,নীচে
teil,part,অংশ
beiden,both,উভয়
mensch,person,ব্যক্তি
kleiner,smaller,ছোট
stellen,place,স্থান
oft,often,প্রায়ই
sorge,worries,উদ্বেগ
gedacht,thought,চিন্তা
tust,do,করতে
trinken,drink,পান
einige,some,কিছু
dies,this,এই
ding,thing,জিনিস
unseren,ours,আমাদের
kriegen,get,পেতে
blut,blood,রক্ত
ehrlich,honest,সৎ
eltern,parents,পিতামাতা
scheint,appears,প্রদর্শিত
herz,heart,হৃদয়
jack,Jack,জ্যাক
glücklich,happy,খুশি
alte,old ones,পুরানো
alt,old,পুরাতন
bleib,stay,থাকা
wiedersehen,see you again,আবার দেখা হবে
frei,free,বিনামূল্যে
wen,who,WHO
drauf,on it,এটার উপর
möglich,possible,সম্ভব
irgendwie,somehow,কোনোভাবে
reicht,suffices,যথেষ্ট
fest,firmly,দৃঢ়ভাবে
besten,best,সেরা
waffe,weapon,অস্ত্র
kaum,barely,সবে
irgendwas,something,কিছু
klingt,sounds,শব্দ
platz,place,স্থান
brauchst,need,প্রয়োজন
rede,speech,বক্তৃতা
papa,papa,বাবা
falsch,incorrect,ভুল
sondern,rather,বরং
alten,old,পুরাতন
nummer,number,সংখ্যা
früher,earlier,আগে
jungen,boys,ছেলেদের
wohin,where,যেখানে
außer,except,ছাড়া
früh,early,তাড়াতাড়ি
setzen,set,সেট
zuerst,first,প্রথম
wahrscheinlich,probably,সম্ভবত
dürfen,may,হতে পারে
jede,every,প্রতিটি
arsch,ass,গাধা
telefon,phone,ফোন
tue,do,করতে
kennst,know,জানি
willkommen,welcome,স্বাগত
plan,plan,পরিকল্পনা
großen,big,বড়
retten,save,সংরক্ষণ
hierher,here,এখানে
wär,would be,হবে
bring,bring,আনা
fehler,mistake,ভুল
wollt,wanted,চেয়েছিলেন
dollar,dollar,ডলার
zehn,ten,দশ
allem,everything,সবকিছু
pass,passport,পাসপোর্ট
nächste,next,পরবর্তী
stunde,hour,ঘন্টা
hände,hands,হাত
gegeben,given,দেওয়া
menge,crowd,ভিড়
langsam,slow,ধীর
bereits,already,ইতিমধ্যে
wartet,waits,অপেক্ষা করে
sechs,six,ছয়
lieben,love,প্রেম
meines,mine,আমার
büro,office,অফিস
nächsten,next,পরবর্তী
gebe,give,দিতে
wochen,weeks,সপ্তাহ
ruf,call,কল
schaffen,create,তৈরি
leider,unfortunately,দুর্ভাগ্যবশত
scheiß,shit,বিষ্ঠা
hölle,hell,জাহান্নাম
trotzdem,despite it,তা সত্ত্বেও
doktor,doctor,ডাক্তার
tja,well,ভাল
new,new,নতুন
voll,full,পূর্ণ
film,film,ফিল্ম
überall,everywhere,সর্বত্র
hund,dog,কুকুর
geworden,become,হয়ে
direkt,direct,সরাসরি
wolltest,wanted,চেয়েছিলেন
tat,did,করেছে
denkt,thinks,মনে করে
schiff,ship,জাহাজ
neues,new,নতুন
wem,whom,কাকে
könig,king,রাজা
danach,thereafter,তারপর
funktioniert,functions,ফাংশন
hattest,had,ছিল
lernen,learn,শিখতে
deswegen,because of this,এই কারণে
wow,Wow,বাহ
nennen,to name,নাম করতে
hm,Hm,হুম
feuer,fire,আগুন
laufen,run,চালান
alleine,alone,একা
erinnern,remember,মনে রাখবেন
völlig,fully,সম্পূর্ণরূপে
kleines,small,ছোট
könnt,can,পারে
stelle,place,স্থান
kumpel,buddy,বন্ধু
verlieren,lose,হারান
probleme,problems,সমস্যা
spricht,speaks,কথা বলে
kaffee,coffee,কফি
luft,air,বায়ু
fand,found,পাওয়া গেছে
i,i,i
entschuldige,sorry,দুঃখিত
ziehen,pull,টান
verschwinden,disappear,অদৃশ্য
könntest,could,পারে
seht,see,দেখুন
aufhören,stop,থামা
eigenen,own,নিজস্ব
richtige,correct,সঠিক
unserem,ours,আমাদের
suche,search,অনুসন্ধান
zwar,that is,যে
groß,large,বড়
hol,get,পেতে
buch,book,বই
krank,sick,অসুস্থ
fühle,feel,অনুভব
jedes,each,প্রতিটি
verstehst,understand,বুঝতে
wert,value,মান
arzt,physician,চিকিত্সক
froh,glad,আনন্দিত
versuche,try,চেষ্টা করুন
straße,street,রাস্তা
rufen,call,কল
heiraten,marry,বিয়ে
super,super,সুপার
sam,Sam,স্যাম
lebt,lives,জীবন
gutes,good,ভাল
lasse,let,যাক
onkel,uncle,চাচা
total,total,মোট
gebracht,brought,আনা
party,party,পার্টি
erklären,explain,ব্যাখ্যা
spielt,plays,নাটক
wahl,choice,পছন্দ
vertrauen,trust,বিশ্বাস
damals,at that time,সেই সময়ে
tagen,meetings,মিটিং
leicht,light,আলো
nachdem,after,পরে
gegangen,gone,চলে গেছে
gefühl,feeling,অনুভূতি
kaufen,buy,কিনতে
geschafft,done,সম্পন্ন
typen,types,প্রকার
interessiert,interested,আগ্রহী
möchten,want,চাই
halte,hold,রাখা
hält,holds,ধারণ করে
glaub,believe,বিশ্বাস
irgendwo,somewhere,কোথাও
stück,piece,টুকরা
genauso,just as,ঠিক যেমন
kennt,knows,জানে
genommen,taken,নেওয়া
zukunft,future,ভবিষ্যৎ
weniger,fewer,কম
cool,cool,শীতল
licht,light,আলো
getroffen,met,দেখা
himmel,heaven,স্বর্গ
nachricht,news,খবর
drüben,over,ওভার
passt,fits,ফিট
sagten,said,বলেছেন
kümmern,take care,যত্ন নিন
laut,loud,জোরে
vergiss,forget,ভুলে যাও
angerufen,called,ডাকা
sitzen,sit,বসা
daß,that,যে
erde,earth,পৃথিবী
großer,big one,বড় এক
schlüssel,key,চাবি
rest,rest,বিশ্রাম
passieren,happen,ঘটবে
eher,rather,বরং
gefragt,asked,জিজ্ঞাসা
gefängnis,jail,জেল
opfer,victim,শিকার
körper,body,শরীর
solche,such,যেমন
mist,crap,বাজে কথা
mr,mr,জনাব
findet,finds,খুঁজে পায়
schreiben,write,লিখুন
böse,evil,মন্দ
gesprochen,spoken,কথ্য
versuch,attempt,প্রচেষ্টা
vorstellen,introduce,পরিচয় করিয়ে দেওয়া
wovon,from what,কি থেকে
sobald,as soon as,যত তাড়াতাড়ি
nochmal,again,আবার
herren,gentlemen,ভদ্রলোক
sex,sex,যৌনতা
waffen,weapons,অস্ত্র
wohnung,apartment,অ্যাপার্টমেন্ট
weh,sore,কালশিটে
heißen,be called,বলা হবে
krankenhaus,hospital,হাসপাতাল
bringe,bring,আনা
höre,listen,শুনুন
millionen,million,মিলিয়ন
klasse,class,ক্লাস
hart,hard,কঠিন
worden,been,হয়েছে
sinn,sense,অনুভূতি
außerdem,aside from that,একপাশে যে
verletzt,injured,আহত
ändern,change,পরিবর্তন
erfahren,experience,অভিজ্ঞতা
tragen,carry,বহন
wenigstens,at least,অন্তত
vorsichtig,cautious,সতর্ক
daddy,daddy,বাবা
stolz,proud,গর্বিত
stark,strong,শক্তিশালী
fällt,falls,পড়ে
möchtest,would like,চাই
leuten,people,মানুষ
besonders,particularly,বিশেষ করে
schöne,beautiful,সুন্দর
schicken,send,পাঠান
person,person,ব্যক্তি
schätze,guess,অনুমান
solange,as long as,যতদিন
länger,longer,দীর্ঘ
großartig,great,মহান
lacht,laughs,হাসে
anrufen,call,কল
stand,stood,দাঁড়িয়ে
redest,talk,কথা
fühlen,feel,অনুভব
erwartet,expected,প্রত্যাশিত
boden,floor,মেঝে
boss,boss,বস
stimme,agree,একমত
glaubt,believes,বিশ্বাস করে
still,silent,নীরব
sicherheit,security,নিরাপত্তা
setz,put,রাখা
ma,ma,মা
mund,mouth,মুখ
kämpfen,battle,যুদ্ধ
wisst,know,জানি
lachen,laugh,হাসি
hörst,hear,শুনতে
zeug,things,জিনিস
lustig,funny,মজার
umbringen,kill,হত্যা
sollst,should,উচিত
hasse,hate,ঘৃণা
schlimm,terrible,ভয়ানক
o,O,ও
unglaublich,incredible,অবিশ্বাস্য
wärst,would be,হবে
laden,load,লোড
führen,lead,নেতৃত্ব
gestorben,died,মারা গেছে
schauen,look,তাকান
meinung,opinion,মতামত
lesen,read,পড়া
mörder,murderer,খুনি
frank,frank,ফ্র্যাঙ্ক
ähm,um,উম
geschehen,happen,ঘটবে
geschäft,business,ব্যবসা
idiot,idiot,বোকা
verzeihung,forgiveness,ক্ষমা
fliegen,fly,মাছি
zeig,show,দেখান
team,team,দল
general,general,সাধারণ
mike,Mike,মাইক
aufs,ons,অনস
york,York,ইয়র্ক
vorher,previously,পূর্বে
schluss,ending,শেষ
schneller,faster,দ্রুত
liebt,loves,ভালবাসে
verdient,earned,অর্জিত
mögen,like,পছন্দ
meisten,most,সর্বাধিক
denk,think,মনে
umgebracht,killed,নিহত
perfekt,perfect,নিখুঁত
versprochen,promised,প্রতিশ্রুতি
handy,cell phone,সেল ফোন
hinten,rear,পিছনে
monate,months,মাস
erinnere,remember,মনে রাখবেন
acht,eight,আট
arbeitet,works,কাজ করে
fallen,fall,পতন
rufe,shout,চিৎকার
nötig,necessary,প্রয়োজনীয়
a,a,ক
mord,murder,হত্যা
heraus,out of here,এখান থেকে
tages,day,দিন
unmöglich,impossible,অসম্ভব
liebling,darling,প্রিয়তম
charlie,charlie,চার্লি
tatsächlich,actually,আসলে
folgen,consequences,পরিণতি
bitten,ask,জিজ্ঞাসা
behalten,keep,রাখা
nähe,vicinity,কাছাকাছি
arbeite,work,কাজ
joe,joe,জো
verdammte,damn,অভিশাপ
plötzlich,suddenly,হঠাৎ
lebens,life,জীবন
hole,fetch,আনা
tisch,table,টেবিল
michael,Michael,মাইকেল
hörte,heard,শুনেছি
jemals,ever,কখনও
liegen,lay,রাখা
verkaufen,sell,বিক্রি
gefährlich,dangerous,বিপজ্জনক
anfangen,begin,শুরু
bekommt,receives,গ্রহণ করে
machte,made,তৈরি
ha,Ha,হা
hotel,hotel,হোটেল
hilft,helps,সাহায্য করে
werdet,will,হবে
meister,master,মাস্টার
kampf,battle,যুদ্ধ
antwort,answer,উত্তর
konnten,could,পারে
geschickt,sent,পাঠানো
jedem,everyone,সবাই
obwohl,although,যদিও
sieben,seven,সাত
komisch,funny,মজার
gewinnen,win,জয়
ihres,hers,তার
bezahlt,paid,পরিশোধ করা
you,you,আপনি
voller,fuller,ফুলার
unterwegs,on the way,পথে
dumm,dumb,বোবা
ärger,aggravation,উত্তেজনা
bild,picture,ছবি
george,george,জর্জ
neu,new,নতুন
bezahlen,pay,বেতন
dagegen,against it,এর বিরুদ্ধে
seien,be,হতে
starb,died,মারা গেছে
tom,tom,টম
monaten,months,মাস
leiche,corpse,মৃতদেহ
niemanden,nobody,কেউ
auge,eye,চোখ
arschloch,asshole,asshole
verheiratet,married,বিবাহিত
peter,Peter,পিটার
zieh,pull,টান
nimmt,takes,লাগে
gerettet,saved,সংরক্ষিত
agent,agent,এজেন্ট
traum,dream,স্বপ্ন
entscheidung,decision,সিদ্ধান্ত
schlimmer,worse,খারাপ
regeln,regulate,নিয়ন্ত্রণ
fenster,window,জানালা
fangen,catch,ধরা
fort,continued,অব্যাহত
ständig,constant,ধ্রুবক
findest,find,খুঁজুন
gefahr,danger,বিপদ
absolut,absolutely,একেবারে
mary,mary,মেরি
augenblick,moment,মুহূর্ত
bescheid,notice,নোটিশ
rum,rum,রাম
gedanken,thoughts,চিন্তা
werd,will,হবে
ziel,goal,লক্ষ্য
benutzt,used,ব্যবহৃত
bewegung,movement,আন্দোলন
jemandem,someone,কেউ
wünschte,wished,ইচ্ছা ছিল
worte,words,শব্দ
kamen,came,এসেছে
welcher,which,যা